fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.9,0.19999999999999996,-0.5,1.4,-0.424,10.5,33.5,0.4978,3.01,0.06000000000000005,8.9,bad
7.3,0.38,-0.5,2.1,-0.402,24.5,66.5,0.4968,2.7,0.18000000000000005,9.3,bad
7.3,0.26,-0.46,1.7999999999999998,-0.40800000000000003,14.5,53.5,0.497,2.76,0.15000000000000002,9.3,bad
6.9,0.19999999999999996,-0.5,1.4,-0.424,10.5,33.5,0.4978,3.01,0.06000000000000005,8.9,bad
6.9,0.16000000000000003,-0.5,1.3,-0.425,12.5,39.5,0.4978,3.01,0.06000000000000005,8.9,bad
7.4,0.09999999999999998,-0.44,1.1,-0.431,14.5,58.5,0.49639999999999995,2.8,-0.03999999999999998,8.9,bad
7.0,0.0,-0.14,5.6,-0.429,16.5,101.5,0.4978,2.85,0.30000000000000004,10.0,bad
6.2,0.07999999999999996,-0.42,1.3,-0.403,14.5,64.5,0.4959,2.78,0.040000000000000036,8.7,bad
7.0,0.0,-0.14,5.6,-0.429,16.5,101.5,0.4978,2.85,0.30000000000000004,10.0,bad
5.1,0.11499999999999999,-0.5,1.1,-0.41100000000000003,15.5,58.5,0.49429999999999996,3.08,0.020000000000000018,9.4,bad
7.3,0.10999999999999999,-0.21000000000000002,1.1,-0.386,8.5,28.5,0.49739999999999995,2.76,1.06,8.6,bad
8.4,0.12,-0.32,3.3,-0.324,51.5,144.5,0.49860000000000004,2.66,0.38,8.7,bad
8.4,0.12,-0.31,3.4,-0.32999999999999996,50.5,147.5,0.49860000000000004,2.67,0.43000000000000005,8.7,bad
7.6,0.06000000000000005,-0.21999999999999997,1.2,-0.132,15.5,55.5,0.4968,2.61,0.78,8.8,bad
6.9,0.08999999999999997,-0.42,3.9000000000000004,-0.41400000000000003,5.5,28.5,0.49739999999999995,2.88,0.0,8.5,bad
7.1,-0.10999999999999999,-0.19,1.7999999999999998,-0.4180000000000001,22.5,70.5,0.4982,3.02,0.15000000000000002,9.2,bad
7.4,-0.07,-0.29000000000000004,1.1,-0.394,9.5,36.5,0.49660000000000004,2.67,0.41000000000000003,9.0,bad
8.0,-0.010000000000000009,-0.39,1.7999999999999998,-0.416,8.5,66.5,0.4968,2.67,0.030000000000000027,8.9,bad
5.8,-0.10999999999999999,-0.33999999999999997,0.8999999999999999,-0.42,10.5,22.5,0.49550000000000005,2.84,0.06000000000000005,8.8,bad
7.1,-0.09000000000000002,-0.26,1.3,-0.42,3.5,10.5,0.4962,2.78,0.08999999999999997,9.0,bad
7.4,-0.07,-0.29000000000000004,1.1,-0.394,9.5,36.5,0.49660000000000004,2.67,0.41000000000000003,9.0,bad
6.6,0.20999999999999996,-0.5,1.4,-0.42,13.5,34.5,0.4972,2.97,0.050000000000000044,8.9,bad
6.2,0.17500000000000004,-0.43,1.9,-0.41100000000000003,16.5,81.5,0.4958,2.85,0.040000000000000036,9.6,bad
7.800000000000001,0.15500000000000003,-0.38,1.7999999999999998,-0.417,14.5,112.5,0.49660000000000004,2.67,0.16000000000000003,9.3,bad
4.7,-0.18,-0.25,1.3,-0.397,12.5,49.5,0.49570000000000003,2.88,0.050000000000000044,8.7,bad
5.2,0.6299999999999999,-0.41000000000000003,1.0,-0.328,6.5,18.5,0.494,3.0,-0.020000000000000018,9.3,bad
6.8,-0.04999999999999999,-0.14,5.4,-0.426,11.5,86.5,0.4978,2.83,0.32999999999999996,10.0,bad
6.8,-0.04999999999999999,-0.14,5.4,-0.426,11.5,86.5,0.4978,2.83,0.32999999999999996,10.0,bad
8.3,0.10999999999999999,-0.2,2.3,-0.41200000000000003,16.5,45.5,0.49760000000000004,2.76,0.010000000000000009,8.8,bad
7.6,0.16000000000000003,-0.28,1.7000000000000002,-0.431,8.5,22.5,0.4968,2.8,0.7,9.8,bad
6.3,0.17000000000000004,-0.48,1.3,-0.45,4.5,10.5,0.4962,2.98,0.020000000000000018,9.0,bad
4.1,0.020000000000000018,-0.35,1.6,-0.446,7.5,64.5,0.49339999999999995,3.4,0.06000000000000005,12.6,bad
7.2,0.43500000000000005,-0.07,1.7000000000000002,-0.386,21.5,113.5,0.497,2.75,0.22999999999999998,8.7,bad
8.2,-0.21000000000000002,0.020000000000000018,1.1,-0.387,11.5,36.5,0.4969,2.75,0.07999999999999996,9.0,bad
5.9,-0.09999999999999998,-0.27,1.1,-0.434,4.5,11.5,0.4958,2.84,0.06000000000000005,8.7,bad
5.1,-0.19,-0.13,0.8999999999999999,-0.426,11.5,95.5,0.49539999999999995,2.82,0.07999999999999996,8.7,bad
8.3,0.16000000000000003,-0.24,1.2,-0.426,3.5,22.5,0.4971,2.65,0.24,8.7,bad
8.1,-0.12,-0.14,2.5,-0.419,29.5,118.5,0.497,2.7,0.06000000000000005,8.9,bad
7.2,0.12,-0.46,3.3,-0.416,24.5,44.5,0.4978,2.84,0.030000000000000027,9.0,bad
9.7,-0.08000000000000002,0.06999999999999995,2.9,-0.43,3.5,9.5,0.4971,2.54,0.13,9.1,bad
7.0,0.13,-0.38,4.6,-0.389,49.5,109.5,0.49829999999999997,2.76,0.27,8.9,bad
7.3,0.08999999999999997,-0.32,1.7999999999999998,-0.424,16.5,53.5,0.49750000000000005,2.93,0.08999999999999997,9.5,bad
8.3,-0.09999999999999998,-0.09999999999999998,1.7000000000000002,-0.421,18.5,51.5,0.498,2.94,0.14,8.7,bad
7.2,0.18999999999999995,-0.010000000000000009,1.3,-0.385,19.5,111.5,0.4968,2.71,0.20999999999999996,8.8,bad
6.5,0.235,-0.45,1.5,-0.419,12.5,53.5,0.49660000000000004,2.89,0.06999999999999995,9.3,bad
6.7,0.22499999999999998,-0.45,4.15,-0.41400000000000003,3.5,10.5,0.4962,2.91,-0.10999999999999999,10.4,bad
6.7,0.22499999999999998,-0.45,4.15,-0.41400000000000003,3.5,10.5,0.4962,2.91,-0.10999999999999999,10.4,bad
7.0,0.020000000000000018,-0.39,1.0,-0.421,10.5,38.5,0.4968,2.92,0.07999999999999996,9.1,bad
6.1,0.20499999999999996,-0.43,1.1,-0.424,5.5,14.5,0.4962,2.94,0.07999999999999996,10.2,bad
8.8,-0.18,0.06999999999999995,1.5,-0.426,26.5,64.5,0.4969,2.78,0.29000000000000004,10.2,bad
7.2,0.17000000000000004,-0.27,1.6,-0.41200000000000003,16.5,95.5,0.4962,2.82,-0.020000000000000018,9.0,bad
7.2,0.18999999999999995,-0.28,1.4,-0.416,17.5,93.5,0.4961,2.81,-0.020000000000000018,9.0,bad
7.800000000000001,0.17500000000000004,-0.24,1.6,-0.416,10.5,42.5,0.49760000000000004,2.81,0.030000000000000027,8.7,bad
9.2,-0.18,0.040000000000000036,2.0,-0.406,27.5,82.5,0.49839999999999995,2.78,0.31999999999999995,9.1,bad
8.3,-0.09000000000000002,0.14,1.7000000000000002,-0.40700000000000003,8.5,41.5,0.49860000000000004,3.04,0.16000000000000003,10.0,bad
8.3,-0.09000000000000002,0.14,1.7000000000000002,-0.40700000000000003,8.5,41.5,0.49860000000000004,3.04,0.16000000000000003,10.0,bad
6.2,0.25,-0.38,1.5,-0.41400000000000003,11.5,79.5,0.4958,2.88,0.020000000000000018,9.6,bad
7.800000000000001,0.125,-0.3,1.0,-0.42,26.5,118.5,0.4972,2.66,0.6200000000000001,8.6,bad
5.7,-0.04999999999999999,-0.3,1.1,-0.431,2.5,14.5,0.4958,2.91,0.06000000000000005,8.7,bad
7.3,-0.07,0.19999999999999996,1.4,-0.035999999999999976,21.5,66.5,0.49739999999999995,2.63,0.78,8.9,bad
6.9,0.0,-0.030000000000000027,1.5,-0.41400000000000003,20.5,72.5,0.497,2.86,0.06999999999999995,8.6,bad
6.8,0.17000000000000004,-0.24,1.3,-0.09899999999999998,15.5,50.5,0.4969,2.66,0.6399999999999999,8.9,bad
6.4,0.050000000000000044,-0.35,1.7000000000000002,-0.424,18.5,39.5,0.4961,2.91,0.08999999999999997,9.6,bad
7.2,-0.010000000000000009,-0.24,1.4,-0.438,8.5,30.5,0.49660000000000004,2.89,0.14,9.1,bad
8.8,-0.10999999999999999,-0.06,1.6,-0.393,33.5,124.5,0.4978,2.64,0.72,9.0,bad
6.5,0.12,-0.42,1.3,-0.424,7.5,23.5,0.4978,2.98,0.030000000000000027,8.5,bad
7.4,0.020000000000000018,-0.24,1.4,-0.421,41.5,139.5,0.49639999999999995,2.73,0.040000000000000036,9.0,bad
8.1,-0.010000000000000009,-0.21000000000000002,1.5,-0.39,18.5,132.5,0.4972,2.43,1.48,9.3,bad
7.2,-0.010000000000000009,-0.24,1.4,-0.438,8.5,30.5,0.49660000000000004,2.89,0.14,9.1,bad
4.5,0.52,-0.46,0.8999999999999999,-0.455,40.5,84.5,0.4938,3.25,-0.020000000000000018,10.0,bad
6.3,0.275,-0.5,2.5,-0.398,7.5,22.5,0.49650000000000005,2.95,0.06000000000000005,10.2,bad
6.5,0.0,-0.25,1.5,-0.43,2.5,21.5,0.49629999999999996,2.75,0.13,8.7,bad
7.1,0.4,-0.44,2.0,-0.421,4.5,9.5,0.49670000000000003,2.89,0.06000000000000005,9.3,bad
7.6,0.07499999999999996,-0.28,1.6,-0.423,11.5,64.5,0.49670000000000003,2.79,0.010000000000000009,8.7,bad
6.7,-0.010000000000000009,-0.26,1.7000000000000002,-0.43,4.5,35.5,0.496,2.83,-0.020000000000000018,8.9,bad
7.6,0.07499999999999996,-0.28,1.6,-0.423,11.5,64.5,0.49670000000000003,2.79,0.010000000000000009,8.7,bad
7.3,-0.09000000000000002,0.18000000000000005,1.2,-0.032999999999999974,17.5,68.5,0.49729999999999996,2.58,0.81,8.8,bad
5.7,0.13,-0.19,1.2,-0.41200000000000003,14.5,63.5,0.4969,2.96,0.29000000000000004,8.8,bad
7.6,0.28500000000000003,0.020000000000000018,1.5,-0.378,36.5,152.5,0.4969,2.71,0.18999999999999995,8.8,bad
7.3,0.06000000000000005,-0.31,1.3,-0.396,11.5,46.5,0.49639999999999995,2.69,0.43000000000000005,9.0,bad
7.9,0.12,-0.41000000000000003,1.7000000000000002,-0.416,10.5,107.5,0.49639999999999995,2.65,0.16000000000000003,9.3,bad
7.9,0.09999999999999998,-0.4,1.7000000000000002,-0.415,13.5,110.5,0.49639999999999995,2.65,0.16000000000000003,9.3,bad
7.3,0.06000000000000005,-0.31,1.3,-0.396,11.5,46.5,0.49639999999999995,2.69,0.43000000000000005,9.0,bad
